House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
14,Fish Harbor,Louise,Gill,56,Head,Married,Female,Field seismologist,None,None
14,Fish Harbor,Graham,Gill,53,Husband,Married,Male,Trade mark attorney,None,None
14,Fish Harbor,Michelle,Gill,18,Daughter,Divorced,Female,Student,None,None
14,Fish Harbor,Marie,Gill,3,Daughter,NA,Female,Child,None,None
15,Fish Harbor,Diana,Norris,39,Head,Single,Female,Call centre manager,None,Catholic
15,Fish Harbor,Richard,Chapman,42,Lodger,Single,Male,Unemployed,None,Christian
15,Fish Harbor,Cameron,Talbot,36,Lodger,Single,Male,Network engineer,None,None
15,Fish Harbor,Liam,McCarthy,22,Sibling,Single,Male,University Student,None,None
16,Fish Harbor,Jane,Knight,53,Head,Divorced,Female,Chief Strategy Officer,None,Christian
16,Fish Harbor,Alison,Knight,27,Daughter,Single,Female,Architectural technologist,None,None
16,Fish Harbor,Beverley,Knight,24,Daughter,Single,Female,Acupuncturist,None,Christian
16,Fish Harbor,Joseph,Knight,24,Son,Single,Male,Dealer,None,Christian
16,Fish Harbor,Samuel,Simpson-Knight,21,Son,Widowed,Male,University Student,None,Christian
17,Fish Harbor,Alice,Clarke,41,Head,Married,Female,"Nurse, children's",None,None
17,Fish Harbor,Karl,Cooke,43,Husband,Married,Male,Armed forces technical officer,None,None
17,Fish Harbor,Marilyn,Clarke,18,Daughter,Divorced,Female,Student,None,None
17,Fish Harbor,Harry,Clarke,15,Son,NA,Male,Student,None,None
18,Fish Harbor,Sandra,Williamson,32,Head,Single,Female,"Therapist, art",None,None
18,Fish Harbor,Malcolm,Fowler,34,Partner,Single,Male,"Lecturer, higher education",None,None
18,Fish Harbor,Samuel,Williamson,6,Son,NA,Male,Student,None,None
18,Fish Harbor,Dominic,Williamson,6,Son,NA,Male,Student,None,None
18,Fish Harbor,Ashley,Williamson,5,Son,NA,Male,Student,None,None
19,Fish Harbor,Samantha,Kelly,52,Head,Single,Female,"Surveyor, minerals",None,Christian
19,Fish Harbor,Jonathan,Ali,53,Partner,Single,Male,"Designer, blown glass/stained glass",None,Christian
19,Fish Harbor,Annette,Kelly,15,Daughter,NA,Female,Student,None,None
20,Fish Harbor,Karl,Wilson,35,Head,Divorced,Male,Radio broadcast assistant,None,Christian
20,Fish Harbor,Joanne,Wilson,6,Daughter,NA,Female,Student,None,None
20,Fish Harbor,Kayleigh,Wilson,1,Daughter,NA,Female,Child,None,None
20,Fish Harbor,Elliot,Brown,47,Lodger,Single,Male,Hospital pharmacist,None,Catholic
21,Fish Harbor,Holly,Walker,40,Head,Single,Female,Museum/gallery conservator,None,Catholic
21,Fish Harbor,Shaun,Taylor,42,Partner,Single,Male,Tree surgeon,None,Catholic
21,Fish Harbor,Rhys,Walker,7,Son,NA,Male,Student,None,None
21,Fish Harbor,Shane,Walker,4,Son,NA,Male,Child,None,None
22,Fish Harbor,Melissa,Jones,54,Head,Divorced,Female,"Psychologist, occupational",None,None
22,Fish Harbor,June,Gough-Jones,15,Daughter,NA,Female,Student,None,None
22,Fish Harbor,Marcus,Gough-Jones,14,Son,NA,Male,Student,None,None
22,Fish Harbor,Graham,Thompson-Gough-Jones,14,Son,NA,Male,Student,None,None
23,Fish Harbor,Patricia,Russell,32,Head,Married,Female,"Research officer, trade union",None,Muslim
23,Fish Harbor,Mitchell,Russell,32,Husband,Married,Male,Automotive engineer,None,Muslim
23,Fish Harbor,Samantha,Russell,9,Daughter,NA,Female,Student,None,None
23,Fish Harbor,Alexandra,Russell,8,Daughter,NA,Female,Student,None,None
24,Fish Harbor,Ricky,Short,27,Head,Divorced,Male,Unemployed,None,Muslim
24,Fish Harbor,Brandon,Short,2,Son,NA,Male,Child,None,None
24,Fish Harbor,Daniel,Leonard,36,Visitor,Single,Male,Sports administrator,None,Catholic
24,Fish Harbor,Kirsty,Dyer,24,Sibling,Single,Female,Technical brewer,None,Catholic
25,Fish Harbor,Denise,Evans,28,Head,Married,Female,Armed forces operational officer,None,Catholic
25,Fish Harbor,Christian,Evans,30,Husband,Married,Male,Structural engineer,None,None
25,Fish Harbor,Leonard,Evans,2,Son,NA,Male,Child,None,None
25,Fish Harbor,Sharon,Smith,19,Lodger,Single,Female,University Student,None,None
26,Fish Harbor,Sarah,Noble,26,Head,Single,Female,Museum/gallery curator,None,None
26,Fish Harbor,Elliott,Hill,28,Partner,Single,Male,Oceanographer,None,None
27,Fish Harbor,Emma,Moore,36,Head,Divorced,Female,"Production assistant, television",None,Christian
27,Fish Harbor,Jessica,Moore,37,Cousin,Single,Female,"Administrator, Civil Service",None,None
27,Fish Harbor,Roy,Moore,52,Cousin,Single,Male,"Teacher, music",None,Christian
27,Fish Harbor,Jade,Moore,44,Cousin,Single,Female,"Psychologist, prison and probation services",None,Christian
28,Fish Harbor,Sophie,Taylor,48,Head,Single,Female,IT sales professional,None,Catholic
28,Fish Harbor,Lydia,Taylor,12,Daughter,NA,Female,Student,None,None
28,Fish Harbor,Christine,Taylor,11,Daughter,NA,Female,Student,None,None
28,Fish Harbor,Aaron,Taylor,7,Son,NA,Male,Student,None,None
28,Fish Harbor,Charlene,Taylor,4,Daughter,NA,Female,Child,None,None
28,Fish Harbor,Donald,Taylor,3,Son,NA,Male,Child,None,None
29,Fish Harbor,Kirsty,Butler,52,Head,Married,Female,Psychiatrist,None,Jewish
29,Fish Harbor,Jacob,Butler,52,Husband,Married,Male,Patent examiner,None,Jewish
29,Fish Harbor,Charles,Butler,26,Son,Single,Male,Equality and diversity officer,None,Jewish
29,Fish Harbor,Wendy,Butler,25,Daughter,Divorced,Female,Jewellery designer,None,Jewish
30,Fish Harbor,Ross,Goodwin,18,Head,Single,Male,University Student,None,Methodist
30,Fish Harbor,Stanley,Doherty,22,None,Single,Male,University Student,None,None
30,Fish Harbor,Elaine,Stokes,21,None,Single,Female,University Student,None,None
30,Fish Harbor,Ann,Hilton,18,None,Single,Female,University Student,None,None
30,Fish Harbor,Carol,Ford,18,None,Single,Female,University Student,None,Christian
31,Fish Harbor,Donald,Harris,59,Head,Single,Male,Research scientist (maths),None,None
32,Fish Harbor,Suzanne,Williams,75,Head,Married,Female,Retired Marketing executive,None,Catholic
32,Fish Harbor,Alan,Williams,79,Husband,Married,Male,"Retired Administrator, Civil Service",None,Catholic
33,Fish Harbor,Mathew,Davis,71,Head,Widowed,Male,"Retired Pharmacist, community",None,None
34,Fish Harbor,Mary,O'Brien,34,Head,Divorced,Female,Charity officer,None,Methodist
34,Fish Harbor,Lydia,O'Brien,17,Daughter,Unknown,Female,Student,None,None
34,Fish Harbor,Ashleigh,O'Brien,14,Daughter,NA,Female,Student,None,None
34,Fish Harbor,Paul,O'Brien,11,Son,NA,Male,Student,None,None
35,Fish Harbor,Rachael,Lee,44,Head,Married,Female,Research scientist (maths),None,Christian
35,Fish Harbor,Wayne,Lee,43,Husband,Married,Male,"Solicitor, Scotland",None,Christian
35,Fish Harbor,Jessica,Lee,8,Daughter,NA,Female,Student,None,None
35,Fish Harbor,Michael,Lee,8,Son,NA,Male,Student,None,None
36,Fish Harbor,Eileen,Bennett,49,Head,Married,Female,Medical physicist,None,None
36,Fish Harbor,Christopher,Bennett,53,Husband,Married,Male,"Editor, commissioning",None,None
36,Fish Harbor,Elaine,Bennett,13,Daughter,NA,Female,Student,None,None
36,Fish Harbor,Arthur,Bennett,13,Son,NA,Male,Student,None,None
37,Fish Harbor,Carolyn,Price-Davison,43,Head,Married,Female,"Horticulturist, amenity",None,Christian
37,Fish Harbor,Ricky,Price-Davison,45,Husband,Married,Male,"Engineer, maintenance",None,Christian
37,Fish Harbor,Francesca,Price-Davison,11,Daughter,NA,Female,Student,None,None
37,Fish Harbor,Josh,Price-Davison,9,Son,NA,Male,Student,None,None
37,Fish Harbor,Diane,Price-Davison,5,Daughter,NA,Female,Student,None,None
38,Fish Harbor,Joyce,Wood,40,Head,Single,Female,Unemployed,None,Catholic
38,Fish Harbor,Duncan,Wood,1,Son,NA,Male,Child,None,None
38,Fish Harbor,Tina,Jenkins,50,Lodger,Single,Female,Clinical embryologist,None,None
38,Fish Harbor,Carol,Schofield,25,Lodger,Single,Female,Exhibition designer,None,None
39,Fish Harbor,Susan,Wilkinson,38,Head,Married,Female,Camera operator,None,None
39,Fish Harbor,Craig,Wilkinson,42,Husband,Married,Male,Research scientist (life sciences),None,None
39,Fish Harbor,Josh,Wilkinson,3,Son,NA,Male,Child,None,None
39,Fish Harbor,Carolyn,Lloyd,29,Lodger,Divorced,Female,Medical laboratory scientific officer,None,None
40,Fish Harbor,Sarah,Mistry,55,Head,Married,Female,Risk manager,None,Christian
40,Fish Harbor,Sam,Mistry,60,Husband,Married,Male,Unemployed,None,Christian
41,Fish Harbor,Yvonne,Todd,22,Head,Single,Female,University Student,None,Catholic
42,Fish Harbor,Carol,Brooks,56,Head,Married,Female,Equities trader,None,Catholic
42,Fish Harbor,Dennis,Brooks,60,Husband,Married,Male,Environmental education officer,None,Catholic
43,Fish Harbor,Megan,Leach,47,Head,Married,Female,Health promotion specialist,None,Christian
43,Fish Harbor,Ross,Leach,46,Husband,Married,Male,Unemployed,None,None
43,Fish Harbor,Vincent,Leach,15,Son,NA,Male,Student,None,None
43,Fish Harbor,Leon,Leach,12,Son,NA,Male,Student,None,None
44,Fish Harbor,Amelia,Holden,74,Head,Married,Female,"Retired Education officer, museum",None,Methodist
44,Fish Harbor,Brandon,Holden,78,Husband,Married,Male,Retired IT sales professional,None,Methodist
44,Fish Harbor,Jodie,Barnes,41,None,Married,Female,Academic librarian,None,None
44,Fish Harbor,Bryan,Barnes,43,None,Married,Male,"Engineer, energy",None,None
44,Fish Harbor,Gavin,Barnes,12,None,NA,Male,Student,None,None
45,Fish Harbor,Lydia,King,32,Head,Single,Female,Unemployed,None,None
45,Fish Harbor,Hilary,King,4,Daughter,NA,Female,Child,None,None
45,Fish Harbor,Barbara,King,4,Daughter,NA,Female,Child,None,None
45,Fish Harbor,Daniel,King,2,Adopted Son,NA,Male,Child,None,None
45,Fish Harbor,Mary,Turner,31,Visitor,Widowed,Female,Dancer,None,Muslim
45,Fish Harbor,Amber,Baldwin,45,Visitor,Single,Female,"Surveyor, rural practice",None,None
46,Fish Harbor,Conor,Barker,59,Head,Single,Male,Bookseller,None,None
46,Fish Harbor,Sally,Wilson,7,Granddaughter,NA,Female,Student,None,None
46,Fish Harbor,Gerard,Hall,4,Grandson,NA,Male,Child,None,None
46,Fish Harbor,Russell,Ahmed-Hall,2,Grandson,NA,Male,Child,None,None
46,Fish Harbor,Jacob,Harrison,34,Lodger,Single,Male,Civil Service fast streamer,None,None
47,Fish Harbor,Rachel,Watts,47,Head,Divorced,Female,Chiropodist,None,None
47,Fish Harbor,Maurice,Watts,20,Son,Single,Male,Music therapist,None,None
47,Fish Harbor,Paul,Watts,17,Son,Unknown,Male,Student,None,None
47,Fish Harbor,Marion,Watts,13,Daughter,NA,Female,Student,None,None
48,Fish Harbor,Debra,Davies,45,Head,Married,Female,Management consultant,None,Catholic
48,Fish Harbor,Charlie,Davies,47,Husband,Married,Male,"Designer, television/film set",None,None
48,Fish Harbor,Alison,Davies,28,Daughter,Divorced,Female,"Conservation officer, historic buildings",None,None
48,Fish Harbor,Kieran,Davies,26,Son,Single,Male,Adult nurse,None,Catholic
48,Fish Harbor,Eleanor,Marshall,26,Daughter,Divorced,Female,Unemployed,None,None
48,Fish Harbor,Bernard,Marshall,2,Son,NA,Male,Child,None,None
49,Fish Harbor,Alexandra,Miller,68,Head,Married,Female,Retired Sub,None,Catholic
49,Fish Harbor,Nathan,Miller,69,Husband,Married,Male,Retired Firefighter,None,None
50,Fish Harbor,Eileen,Wood,48,Head,Divorced,Female,Health promotion specialist,None,None
50,Fish Harbor,Keith,Wood,16,Son,Unknown,Male,Student,None,None
50,Fish Harbor,Max,Wood,13,Son,NA,Male,Student,None,None
51,Fish Harbor,Leon,Richardson,64,Head,Single,Male,Insurance account manager,None,None
51,Fish Harbor,Timothy,Birch,27,None,Single,Male,Psychotherapist,None,Christian
51,Fish Harbor,Ellie,Roberts,42,None,Single,Female,Unemployed,None,Christian
51,Fish Harbor,MISSING,Armstrong,55,None,Single,Male,Unemployed,None,Catholic
52,Fish Harbor,Marie,Khan,42,Head,Divorced,Female,Chartered loss adjuster,None,Catholic
52,Fish Harbor,Joyce,Khan,18,Daughter,Divorced,Female,Student,None,Catholic
52,Fish Harbor,Mandy,Khan,18,Daughter,Single,Female,Student,None,Catholic
52,Fish Harbor,Joyce,Khan,16,Daughter,Unknown,Female,Student,None,None
53,Fish Harbor,Samantha,Mason,50,Head,Married,Female,Midwife,None,None
53,Fish Harbor,Liam,Mason,52,Husband,Married,Male,"Accountant, chartered certified",None,None
53,Fish Harbor,Barbara,Mason,22,Daughter,Divorced,Female,University Student,None,None
53,Fish Harbor,Samuel,Mason,16,Son,Unknown,Male,Student,None,None
54,Fish Harbor,Liam,West,44,Head,Single,Male,Unemployed,None,None
55,Fish Harbor,Christopher,Alexander,43,Head,Married,Male,Unemployed,None,Christian
55,Fish Harbor,June,Alexander,44,Wife,Married,Female,"Psychologist, clinical",None,None
56,Fish Harbor,Deborah,Hyde,60,Head,Married,Female,"Engineer, production",None,Christian
56,Fish Harbor,Dominic,Hyde,62,Husband,Married,Male,Water engineer,None,Christian
56,Fish Harbor,Toby,Hyde,21,Son,Single,Male,University Student,None,Christian
56,Fish Harbor,Shannon,Hyde,5,Daughter,NA,Female,Student,None,None
57,Fish Harbor,Hollie,Williams,25,Head,Married,Female,"Engineer, electrical",None,None
57,Fish Harbor,Oliver,Williams,34,Husband,Married,Male,Sports development officer,None,None
57,Fish Harbor,Glen,Smith,42,Lodger,Single,Male,Cartographer,None,None
57,Fish Harbor,Naomi,Coates,53,Lodger,Divorced,Female,Contractor,None,None
58,Fish Harbor,Shirley,Ross,64,Head,Married,Female,Unemployed,None,Catholic
58,Fish Harbor,Kyle,Ross,67,Husband,Married,Male,Sales promotion account executive,None,None
58,Fish Harbor,Kelly Marie,Ross,19,Daughter,Single,Female,University Student,None,Catholic
58,Fish Harbor,Karl,Ross,17,Son,Unknown,Male,Student,None,None
58,Fish Harbor,Natasha,Ross,15,Daughter,NA,Female,Student,None,None
58,Fish Harbor,Phillip,Ross,10,Son,NA,Male,Student,None,None
59,Fish Harbor,Mohammed,Roberts,49,Head,Single,Male,Armed forces operational officer,None,Catholic
59,Fish Harbor,Frederick,Potts,37,None,Single,Male,"Psychologist, counselling",None,None
59,Fish Harbor,Leanne,Reynolds,20,None,Single,Female,University Student,None,Catholic
60,Fish Harbor,Malcolm,Baker,37,Head,Single,Male,Ambulance person,None,None
61,Fish Harbor,Raymond,Newton,59,Head,Single,Male,"Therapist, drama",None,None
62,Fish Harbor,Kevin,Evans,83,Head,Widowed,Male,Retired Sales executive,None,Christian
63,Fish Harbor,Fiona,Hartley,33,Head,Divorced,Female,Unemployed,None,None
63,Fish Harbor,Brenda,Hartley,5,Daughter,NA,Female,Student,None,None
63,Fish Harbor,Steven,Hartley,2,Son,NA,Male,Child,None,None
63,Fish Harbor,Sylvia,Hartley,2,Daughter,NA,Female,Child,None,None
64,Fish Harbor,Lorraine,Barton-Morley,29,Head,Married,Female,Unemployed,None,None
64,Fish Harbor,Trevor,Barton-Morley,32,Husband,Married,Male,Unemployed,None,None
64,Fish Harbor,Joel,Barton-Morley,12,Son,NA,Male,Student,None,None
65,Fish Harbor,Peter,Barton,20,Head,Divorced,Male,University Student,None,Catholic
65,Fish Harbor,Nicholas,Dale,23,None,Single,Male,Medical technical officer,None,Catholic
65,Fish Harbor,Graeme,Joyce,42,None,Single,Male,Community arts worker,None,Christian
65,Fish Harbor,Karl,Collins,58,None,Single,Male,"Scientist, audiological",None,Jewish
66,Fish Harbor,Claire,Lamb,41,Head,Married,Female,"Scientist, research (physical sciences)",None,None
66,Fish Harbor,Christopher,Lamb,39,Husband,Married,Male,Event organiser,None,None
66,Fish Harbor,Emma,Lamb,16,Daughter,Unknown,Female,Student,None,None
67,Fish Harbor,Ashleigh,Atkinson,36,Head,Married,Female,Claims inspector/assessor,None,None
67,Fish Harbor,Leonard,Atkinson,38,Husband,Married,Male,"Surveyor, commercial/residential",None,None
67,Fish Harbor,Jessica,Atkinson,14,Daughter,NA,Female,Student,None,None
67,Fish Harbor,Alex,Atkinson,10,Son,NA,Male,Student,None,None
68,Fish Harbor,Michelle,George,32,Head,Single,Female,Commissioning editor,None,Catholic
68,Fish Harbor,Frederick,Murray,37,Partner,Single,Male,Fisheries officer,None,None
68,Fish Harbor,Nathan,George,3,Son,NA,Male,Child,None,None
